geography	year	topic	category	sub_category	value_description	value
Carlton	2016	Residents: Age and gender	Age - key groups	Children (0-11 years)	Count of persons	858
Carlton	2016	Residents: Age and gender	Age - key groups	Youth (12-25 years)	Count of persons	9532
Carlton	2016	Residents: Age and gender	Age - key groups	Adult (26-59 years)	Count of persons	6818
Carlton	2016	Residents: Age and gender	Age - key groups	Older (60 years and over)	Count of persons	1556
Docklands	2016	Residents: Age and gender	Age - key groups	Children (0-11 years)	Count of persons	695
Docklands	2016	Residents: Age and gender	Age - key groups	Youth (12-25 years)	Count of persons	2511
Docklands	2016	Residents: Age and gender	Age - key groups	Adult (26-59 years)	Count of persons	6753
Docklands	2016	Residents: Age and gender	Age - key groups	Older (60 years and over)	Count of persons	955
East Melbourne	2016	Residents: Age and gender	Age - key groups	Children (0-11 years)	Count of persons	184
East Melbourne	2016	Residents: Age and gender	Age - key groups	Youth (12-25 years)	Count of persons	561
East Melbourne	2016	Residents: Age and gender	Age - key groups	Adult (26-59 years)	Count of persons	2666
East Melbourne	2016	Residents: Age and gender	Age - key groups	Older (60 years and over)	Count of persons	1278
Greater Melbourne	2016	Residents: Age and gender	Age - key groups	Children (0-11 years)	Count of persons	670090
Greater Melbourne	2016	Residents: Age and gender	Age - key groups	Youth (12-25 years)	Count of persons	823033
Greater Melbourne	2016	Residents: Age and gender	Age - key groups	Adult (26-59 years)	Count of persons	2141537
Greater Melbourne	2016	Residents: Age and gender	Age - key groups	Older (60 years and over)	Count of persons	963401
Kensington	2016	Residents: Age and gender	Age - key groups	Children (0-11 years)	Count of persons	1381
Kensington	2016	Residents: Age and gender	Age - key groups	Youth (12-25 years)	Count of persons	1583
Kensington	2016	Residents: Age and gender	Age - key groups	Adult (26-59 years)	Count of persons	6494
Kensington	2016	Residents: Age and gender	Age - key groups	Older (60 years and over)	Count of persons	1303
Melbourne (CBD)	2016	Residents: Age and gender	Age - key groups	Children (0-11 years)	Count of persons	974
Melbourne (CBD)	2016	Residents: Age and gender	Age - key groups	Youth (12-25 years)	Count of persons	17295
Melbourne (CBD)	2016	Residents: Age and gender	Age - key groups	Adult (26-59 years)	Count of persons	17192
Melbourne (CBD)	2016	Residents: Age and gender	Age - key groups	Older (60 years and over)	Count of persons	1448
City of Melbourne	2016	Residents: Age and gender	Age - key groups	Children (0-11 years)	Count of persons	7608
City of Melbourne	2016	Residents: Age and gender	Age - key groups	Youth (12-25 years)	Count of persons	47421
City of Melbourne	2016	Residents: Age and gender	Age - key groups	Adult (26-59 years)	Count of persons	68451
City of Melbourne	2016	Residents: Age and gender	Age - key groups	Older (60 years and over)	Count of persons	13858
North Melbourne	2016	Residents: Age and gender	Age - key groups	Children (0-11 years)	Count of persons	1285
North Melbourne	2016	Residents: Age and gender	Age - key groups	Youth (12-25 years)	Count of persons	4969
North Melbourne	2016	Residents: Age and gender	Age - key groups	Adult (26-59 years)	Count of persons	7276
North Melbourne	2016	Residents: Age and gender	Age - key groups	Older (60 years and over)	Count of persons	1515
Parkville	2016	Residents: Age and gender	Age - key groups	Children (0-11 years)	Count of persons	324
Parkville	2016	Residents: Age and gender	Age - key groups	Youth (12-25 years)	Count of persons	3265
Parkville	2016	Residents: Age and gender	Age - key groups	Adult (26-59 years)	Count of persons	2474
Parkville	2016	Residents: Age and gender	Age - key groups	Older (60 years and over)	Count of persons	1203
South Yarra (inc. Melbourne Remainder)	2016	Residents: Age and gender	Age - key groups	Children (0-11 years)	Count of persons	306
South Yarra (inc. Melbourne Remainder)	2016	Residents: Age and gender	Age - key groups	Youth (12-25 years)	Count of persons	1019
South Yarra (inc. Melbourne Remainder)	2016	Residents: Age and gender	Age - key groups	Adult (26-59 years)	Count of persons	3167
South Yarra (inc. Melbourne Remainder)	2016	Residents: Age and gender	Age - key groups	Older (60 years and over)	Count of persons	1746
Southbank	2016	Residents: Age and gender	Age - key groups	Children (0-11 years)	Count of persons	752
Southbank	2016	Residents: Age and gender	Age - key groups	Youth (12-25 years)	Count of persons	4877
Southbank	2016	Residents: Age and gender	Age - key groups	Adult (26-59 years)	Count of persons	11382
Southbank	2016	Residents: Age and gender	Age - key groups	Older (60 years and over)	Count of persons	1429
West Melbourne (Residential)	2016	Residents: Age and gender	Age - key groups	Children (0-11 years)	Count of persons	306
West Melbourne (Residential)	2016	Residents: Age and gender	Age - key groups	Youth (12-25 years)	Count of persons	1437
West Melbourne (Residential)	2016	Residents: Age and gender	Age - key groups	Adult (26-59 years)	Count of persons	3373
West Melbourne (Residential)	2016	Residents: Age and gender	Age - key groups	Older (60 years and over)	Count of persons	347
Carlton	2016	Residents: Age and gender	Age - median	Median age	Age in years	25.97
Docklands	2016	Residents: Age and gender	Age - median	Median age	Age in years	31.76
East Melbourne	2016	Residents: Age and gender	Age - median	Median age	Age in years	40.14.00
Greater Melbourne	2016	Residents: Age and gender	Age - median	Median age	Age in years	36
Kensington	2016	Residents: Age and gender	Age - median	Median age	Age in years	33.37.00
Melbourne (CBD)	2016	Residents: Age and gender	Age - median	Median age	Age in years	26.29.00
City of Melbourne	2016	Residents: Age and gender	Age - median	Median age	Age in years	28
North Melbourne	2016	Residents: Age and gender	Age - median	Median age	Age in years	28.79
Parkville	2016	Residents: Age and gender	Age - median	Median age	Age in years	31.22.00
South Yarra (inc. Melbourne Remainder)	2016	Residents: Age and gender	Age - median	Median age	Age in years	38.79
Southbank	2016	Residents: Age and gender	Age - median	Median age	Age in years	30.93
West Melbourne (Residential)	2016	Residents: Age and gender	Age - median	Median age	Age in years	29.73
Carlton	2016	Residents: Age and gender	Age - 5 year groups	0-4 years	Count of persons	439
Carlton	2016	Residents: Age and gender	Age - 5 year groups	5-9 years	Count of persons	352
Carlton	2016	Residents: Age and gender	Age - 5 year groups	10-14 years	Count of persons	292
Carlton	2016	Residents: Age and gender	Age - 5 year groups	15-19 years	Count of persons	2633
Carlton	2016	Residents: Age and gender	Age - 5 year groups	20-24 years	Count of persons	5971
Carlton	2016	Residents: Age and gender	Age - 5 year groups	25-29 years	Count of persons	3128
Carlton	2016	Residents: Age and gender	Age - 5 year groups	30-34 years	Count of persons	1692
Carlton	2016	Residents: Age and gender	Age - 5 year groups	35-39 years	Count of persons	937
Carlton	2016	Residents: Age and gender	Age - 5 year groups	40-44 years	Count of persons	583
Carlton	2016	Residents: Age and gender	Age - 5 year groups	45-49 years	Count of persons	543
Carlton	2016	Residents: Age and gender	Age - 5 year groups	50-54 years	Count of persons	497
Carlton	2016	Residents: Age and gender	Age - 5 year groups	55-59 years	Count of persons	404
Carlton	2016	Residents: Age and gender	Age - 5 year groups	60-64 years	Count of persons	383
Carlton	2016	Residents: Age and gender	Age - 5 year groups	65-69 years	Count of persons	343
Carlton	2016	Residents: Age and gender	Age - 5 year groups	70-74 years	Count of persons	217
Carlton	2016	Residents: Age and gender	Age - 5 year groups	75-79 years	Count of persons	204
Carlton	2016	Residents: Age and gender	Age - 5 year groups	80-84 years	Count of persons	148
Carlton	2016	Residents: Age and gender	Age - 5 year groups	85-89 years	Count of persons	90
Carlton	2016	Residents: Age and gender	Age - 5 year groups	90-94 years	Count of persons	52
Carlton	2016	Residents: Age and gender	Age - 5 year groups	95-99 years	Count of persons	6
Carlton	2016	Residents: Age and gender	Age - 5 year groups	100 years and over	Count of persons	0
Docklands	2016	Residents: Age and gender	Age - 5 year groups	0-4 years	Count of persons	546
Docklands	2016	Residents: Age and gender	Age - 5 year groups	5-9 years	Count of persons	148
Docklands	2016	Residents: Age and gender	Age - 5 year groups	10-14 years	Count of persons	75
Docklands	2016	Residents: Age and gender	Age - 5 year groups	15-19 years	Count of persons	446
Docklands	2016	Residents: Age and gender	Age - 5 year groups	20-24 years	Count of persons	1573
Docklands	2016	Residents: Age and gender	Age - 5 year groups	25-29 years	Count of persons	2370
Docklands	2016	Residents: Age and gender	Age - 5 year groups	30-34 years	Count of persons	1793
Docklands	2016	Residents: Age and gender	Age - 5 year groups	35-39 years	Count of persons	960
Docklands	2016	Residents: Age and gender	Age - 5 year groups	40-44 years	Count of persons	600
Docklands	2016	Residents: Age and gender	Age - 5 year groups	45-49 years	Count of persons	497
Docklands	2016	Residents: Age and gender	Age - 5 year groups	50-54 years	Count of persons	569
Docklands	2016	Residents: Age and gender	Age - 5 year groups	55-59 years	Count of persons	480
Docklands	2016	Residents: Age and gender	Age - 5 year groups	60-64 years	Count of persons	342
Docklands	2016	Residents: Age and gender	Age - 5 year groups	65-69 years	Count of persons	311
Docklands	2016	Residents: Age and gender	Age - 5 year groups	70-74 years	Count of persons	137
Docklands	2016	Residents: Age and gender	Age - 5 year groups	75-79 years	Count of persons	74
Docklands	2016	Residents: Age and gender	Age - 5 year groups	80-84 years	Count of persons	26
Docklands	2016	Residents: Age and gender	Age - 5 year groups	85-89 years	Count of persons	4
Docklands	2016	Residents: Age and gender	Age - 5 year groups	90-94 years	Count of persons	3
Docklands	2016	Residents: Age and gender	Age - 5 year groups	95-99 years	Count of persons	0
Docklands	2016	Residents: Age and gender	Age - 5 year groups	100 years and over	Count of persons	0
East Melbourne	2016	Residents: Age and gender	Age - 5 year groups	0-4 years	Count of persons	145
East Melbourne	2016	Residents: Age and gender	Age - 5 year groups	5-9 years	Count of persons	71
East Melbourne	2016	Residents: Age and gender	Age - 5 year groups	10-14 years	Count of persons	69
East Melbourne	2016	Residents: Age and gender	Age - 5 year groups	15-19 years	Count of persons	69
East Melbourne	2016	Residents: Age and gender	Age - 5 year groups	20-24 years	Count of persons	313
East Melbourne	2016	Residents: Age and gender	Age - 5 year groups	25-29 years	Count of persons	693
East Melbourne	2016	Residents: Age and gender	Age - 5 year groups	30-34 years	Count of persons	646
East Melbourne	2016	Residents: Age and gender	Age - 5 year groups	35-39 years	Count of persons	426
East Melbourne	2016	Residents: Age and gender	Age - 5 year groups	40-44 years	Count of persons	256
East Melbourne	2016	Residents: Age and gender	Age - 5 year groups	45-49 years	Count of persons	275
East Melbourne	2016	Residents: Age and gender	Age - 5 year groups	50-54 years	Count of persons	268
East Melbourne	2016	Residents: Age and gender	Age - 5 year groups	55-59 years	Count of persons	281
East Melbourne	2016	Residents: Age and gender	Age - 5 year groups	60-64 years	Count of persons	352
East Melbourne	2016	Residents: Age and gender	Age - 5 year groups	65-69 years	Count of persons	292
East Melbourne	2016	Residents: Age and gender	Age - 5 year groups	70-74 years	Count of persons	224
East Melbourne	2016	Residents: Age and gender	Age - 5 year groups	75-79 years	Count of persons	108
East Melbourne	2016	Residents: Age and gender	Age - 5 year groups	80-84 years	Count of persons	84
East Melbourne	2016	Residents: Age and gender	Age - 5 year groups	85-89 years	Count of persons	79
East Melbourne	2016	Residents: Age and gender	Age - 5 year groups	90-94 years	Count of persons	26
East Melbourne	2016	Residents: Age and gender	Age - 5 year groups	95-99 years	Count of persons	14
East Melbourne	2016	Residents: Age and gender	Age - 5 year groups	100 years and over	Count of persons	4
Greater Melbourne	2016	Residents: Age and gender	Age - 5 year groups	0-4 years	Count of persons	287178
Greater Melbourne	2016	Residents: Age and gender	Age - 5 year groups	5-9 years	Count of persons	278506
Greater Melbourne	2016	Residents: Age and gender	Age - 5 year groups	10-14 years	Count of persons	254017
Greater Melbourne	2016	Residents: Age and gender	Age - 5 year groups	15-19 years	Count of persons	269015
Greater Melbourne	2016	Residents: Age and gender	Age - 5 year groups	20-24 years	Count of persons	333367
Greater Melbourne	2016	Residents: Age and gender	Age - 5 year groups	25-29 years	Count of persons	362435
Greater Melbourne	2016	Residents: Age and gender	Age - 5 year groups	30-34 years	Count of persons	367913
Greater Melbourne	2016	Residents: Age and gender	Age - 5 year groups	35-39 years	Count of persons	325319
Greater Melbourne	2016	Residents: Age and gender	Age - 5 year groups	40-44 years	Count of persons	313768
Greater Melbourne	2016	Residents: Age and gender	Age - 5 year groups	45-49 years	Count of persons	307580
Greater Melbourne	2016	Residents: Age and gender	Age - 5 year groups	50-54 years	Count of persons	279728
Greater Melbourne	2016	Residents: Age and gender	Age - 5 year groups	55-59 years	Count of persons	255824
Greater Melbourne	2016	Residents: Age and gender	Age - 5 year groups	60-64 years	Count of persons	221078
Greater Melbourne	2016	Residents: Age and gender	Age - 5 year groups	65-69 years	Count of persons	197002
Greater Melbourne	2016	Residents: Age and gender	Age - 5 year groups	70-74 years	Count of persons	147281
Greater Melbourne	2016	Residents: Age and gender	Age - 5 year groups	75-79 years	Count of persons	112832
Greater Melbourne	2016	Residents: Age and gender	Age - 5 year groups	80-84 years	Count of persons	83219
Greater Melbourne	2016	Residents: Age and gender	Age - 5 year groups	85-89 years	Count of persons	56561
Greater Melbourne	2016	Residents: Age and gender	Age - 5 year groups	90-94 years	Count of persons	25617
Greater Melbourne	2016	Residents: Age and gender	Age - 5 year groups	95-99 years	Count of persons	6207
Greater Melbourne	2016	Residents: Age and gender	Age - 5 year groups	100 years and over	Count of persons	762
Kensington	2016	Residents: Age and gender	Age - 5 year groups	0-4 years	Count of persons	737
Kensington	2016	Residents: Age and gender	Age - 5 year groups	5-9 years	Count of persons	489
Kensington	2016	Residents: Age and gender	Age - 5 year groups	10-14 years	Count of persons	332
Kensington	2016	Residents: Age and gender	Age - 5 year groups	15-19 years	Count of persons	355
Kensington	2016	Residents: Age and gender	Age - 5 year groups	20-24 years	Count of persons	869
Kensington	2016	Residents: Age and gender	Age - 5 year groups	25-29 years	Count of persons	1562
Kensington	2016	Residents: Age and gender	Age - 5 year groups	30-34 years	Count of persons	1630
Kensington	2016	Residents: Age and gender	Age - 5 year groups	35-39 years	Count of persons	1124
Kensington	2016	Residents: Age and gender	Age - 5 year groups	40-44 years	Count of persons	839
Kensington	2016	Residents: Age and gender	Age - 5 year groups	45-49 years	Count of persons	694
Kensington	2016	Residents: Age and gender	Age - 5 year groups	50-54 years	Count of persons	508
Kensington	2016	Residents: Age and gender	Age - 5 year groups	55-59 years	Count of persons	488
Kensington	2016	Residents: Age and gender	Age - 5 year groups	60-64 years	Count of persons	411
Kensington	2016	Residents: Age and gender	Age - 5 year groups	65-69 years	Count of persons	326
Kensington	2016	Residents: Age and gender	Age - 5 year groups	70-74 years	Count of persons	197
Kensington	2016	Residents: Age and gender	Age - 5 year groups	75-79 years	Count of persons	131
Kensington	2016	Residents: Age and gender	Age - 5 year groups	80-84 years	Count of persons	96
Kensington	2016	Residents: Age and gender	Age - 5 year groups	85-89 years	Count of persons	55
Kensington	2016	Residents: Age and gender	Age - 5 year groups	90-94 years	Count of persons	21
Kensington	2016	Residents: Age and gender	Age - 5 year groups	95-99 years	Count of persons	4
Kensington	2016	Residents: Age and gender	Age - 5 year groups	100 years and over	Count of persons	0
Melbourne (CBD)	2016	Residents: Age and gender	Age - 5 year groups	0-4 years	Count of persons	745
Melbourne (CBD)	2016	Residents: Age and gender	Age - 5 year groups	5-9 years	Count of persons	336
Melbourne (CBD)	2016	Residents: Age and gender	Age - 5 year groups	10-14 years	Count of persons	167
Melbourne (CBD)	2016	Residents: Age and gender	Age - 5 year groups	15-19 years	Count of persons	3471
Melbourne (CBD)	2016	Residents: Age and gender	Age - 5 year groups	20-24 years	Count of persons	11682
Melbourne (CBD)	2016	Residents: Age and gender	Age - 5 year groups	25-29 years	Count of persons	8576
Melbourne (CBD)	2016	Residents: Age and gender	Age - 5 year groups	30-34 years	Count of persons	5012
Melbourne (CBD)	2016	Residents: Age and gender	Age - 5 year groups	35-39 years	Count of persons	2295
Melbourne (CBD)	2016	Residents: Age and gender	Age - 5 year groups	40-44 years	Count of persons	1226
Melbourne (CBD)	2016	Residents: Age and gender	Age - 5 year groups	45-49 years	Count of persons	947
Melbourne (CBD)	2016	Residents: Age and gender	Age - 5 year groups	50-54 years	Count of persons	755
Melbourne (CBD)	2016	Residents: Age and gender	Age - 5 year groups	55-59 years	Count of persons	697
Melbourne (CBD)	2016	Residents: Age and gender	Age - 5 year groups	60-64 years	Count of persons	573
Melbourne (CBD)	2016	Residents: Age and gender	Age - 5 year groups	65-69 years	Count of persons	438
Melbourne (CBD)	2016	Residents: Age and gender	Age - 5 year groups	70-74 years	Count of persons	238
Melbourne (CBD)	2016	Residents: Age and gender	Age - 5 year groups	75-79 years	Count of persons	141
Melbourne (CBD)	2016	Residents: Age and gender	Age - 5 year groups	80-84 years	Count of persons	54
Melbourne (CBD)	2016	Residents: Age and gender	Age - 5 year groups	85-89 years	Count of persons	23
Melbourne (CBD)	2016	Residents: Age and gender	Age - 5 year groups	90-94 years	Count of persons	13
Melbourne (CBD)	2016	Residents: Age and gender	Age - 5 year groups	95-99 years	Count of persons	0
Melbourne (CBD)	2016	Residents: Age and gender	Age - 5 year groups	100 years and over	Count of persons	0
City of Melbourne	2016	Residents: Age and gender	Age - 5 year groups	0-4 years	Count of persons	4386
City of Melbourne	2016	Residents: Age and gender	Age - 5 year groups	5-9 years	Count of persons	2468
City of Melbourne	2016	Residents: Age and gender	Age - 5 year groups	10-14 years	Count of persons	1878
City of Melbourne	2016	Residents: Age and gender	Age - 5 year groups	15-19 years	Count of persons	10591
City of Melbourne	2016	Residents: Age and gender	Age - 5 year groups	20-24 years	Count of persons	29756
City of Melbourne	2016	Residents: Age and gender	Age - 5 year groups	25-29 years	Count of persons	26241
City of Melbourne	2016	Residents: Age and gender	Age - 5 year groups	30-34 years	Count of persons	18178
City of Melbourne	2016	Residents: Age and gender	Age - 5 year groups	35-39 years	Count of persons	9821
City of Melbourne	2016	Residents: Age and gender	Age - 5 year groups	40-44 years	Count of persons	6213
City of Melbourne	2016	Residents: Age and gender	Age - 5 year groups	45-49 years	Count of persons	5126
City of Melbourne	2016	Residents: Age and gender	Age - 5 year groups	50-54 years	Count of persons	4656
City of Melbourne	2016	Residents: Age and gender	Age - 5 year groups	55-59 years	Count of persons	4155
City of Melbourne	2016	Residents: Age and gender	Age - 5 year groups	60-64 years	Count of persons	3639
City of Melbourne	2016	Residents: Age and gender	Age - 5 year groups	65-69 years	Count of persons	3185
City of Melbourne	2016	Residents: Age and gender	Age - 5 year groups	70-74 years	Count of persons	2097
City of Melbourne	2016	Residents: Age and gender	Age - 5 year groups	75-79 years	Count of persons	1372
City of Melbourne	2016	Residents: Age and gender	Age - 5 year groups	80-84 years	Count of persons	923
City of Melbourne	2016	Residents: Age and gender	Age - 5 year groups	85-89 years	Count of persons	714
City of Melbourne	2016	Residents: Age and gender	Age - 5 year groups	90-94 years	Count of persons	374
City of Melbourne	2016	Residents: Age and gender	Age - 5 year groups	95-99 years	Count of persons	145
City of Melbourne	2016	Residents: Age and gender	Age - 5 year groups	100 years and over	Count of persons	31
North Melbourne	2016	Residents: Age and gender	Age - 5 year groups	0-4 years	Count of persons	603
North Melbourne	2016	Residents: Age and gender	Age - 5 year groups	5-9 years	Count of persons	503
North Melbourne	2016	Residents: Age and gender	Age - 5 year groups	10-14 years	Count of persons	469
North Melbourne	2016	Residents: Age and gender	Age - 5 year groups	15-19 years	Count of persons	1092
North Melbourne	2016	Residents: Age and gender	Age - 5 year groups	20-24 years	Count of persons	2980
North Melbourne	2016	Residents: Age and gender	Age - 5 year groups	25-29 years	Count of persons	2631
North Melbourne	2016	Residents: Age and gender	Age - 5 year groups	30-34 years	Count of persons	1661
North Melbourne	2016	Residents: Age and gender	Age - 5 year groups	35-39 years	Count of persons	1050
North Melbourne	2016	Residents: Age and gender	Age - 5 year groups	40-44 years	Count of persons	857
North Melbourne	2016	Residents: Age and gender	Age - 5 year groups	45-49 years	Count of persons	672
North Melbourne	2016	Residents: Age and gender	Age - 5 year groups	50-54 years	Count of persons	592
North Melbourne	2016	Residents: Age and gender	Age - 5 year groups	55-59 years	Count of persons	489
North Melbourne	2016	Residents: Age and gender	Age - 5 year groups	60-64 years	Count of persons	432
North Melbourne	2016	Residents: Age and gender	Age - 5 year groups	65-69 years	Count of persons	381
North Melbourne	2016	Residents: Age and gender	Age - 5 year groups	70-74 years	Count of persons	239
North Melbourne	2016	Residents: Age and gender	Age - 5 year groups	75-79 years	Count of persons	165
North Melbourne	2016	Residents: Age and gender	Age - 5 year groups	80-84 years	Count of persons	142
North Melbourne	2016	Residents: Age and gender	Age - 5 year groups	85-89 years	Count of persons	52
North Melbourne	2016	Residents: Age and gender	Age - 5 year groups	90-94 years	Count of persons	12
North Melbourne	2016	Residents: Age and gender	Age - 5 year groups	95-99 years	Count of persons	4
North Melbourne	2016	Residents: Age and gender	Age - 5 year groups	100 years and over	Count of persons	7
Parkville	2016	Residents: Age and gender	Age - 5 year groups	0-4 years	Count of persons	235
Parkville	2016	Residents: Age and gender	Age - 5 year groups	5-9 years	Count of persons	108
Parkville	2016	Residents: Age and gender	Age - 5 year groups	10-14 years	Count of persons	105
Parkville	2016	Residents: Age and gender	Age - 5 year groups	15-19 years	Count of persons	1178
Parkville	2016	Residents: Age and gender	Age - 5 year groups	20-24 years	Count of persons	1793
Parkville	2016	Residents: Age and gender	Age - 5 year groups	25-29 years	Count of persons	1075
Parkville	2016	Residents: Age and gender	Age - 5 year groups	30-34 years	Count of persons	628
Parkville	2016	Residents: Age and gender	Age - 5 year groups	35-39 years	Count of persons	342
Parkville	2016	Residents: Age and gender	Age - 5 year groups	40-44 years	Count of persons	211
Parkville	2016	Residents: Age and gender	Age - 5 year groups	45-49 years	Count of persons	193
Parkville	2016	Residents: Age and gender	Age - 5 year groups	50-54 years	Count of persons	230
Parkville	2016	Residents: Age and gender	Age - 5 year groups	55-59 years	Count of persons	187
Parkville	2016	Residents: Age and gender	Age - 5 year groups	60-64 years	Count of persons	223
Parkville	2016	Residents: Age and gender	Age - 5 year groups	65-69 years	Count of persons	196
Parkville	2016	Residents: Age and gender	Age - 5 year groups	70-74 years	Count of persons	145
Parkville	2016	Residents: Age and gender	Age - 5 year groups	75-79 years	Count of persons	114
Parkville	2016	Residents: Age and gender	Age - 5 year groups	80-84 years	Count of persons	126
Parkville	2016	Residents: Age and gender	Age - 5 year groups	85-89 years	Count of persons	163
Parkville	2016	Residents: Age and gender	Age - 5 year groups	90-94 years	Count of persons	94
Parkville	2016	Residents: Age and gender	Age - 5 year groups	95-99 years	Count of persons	37
Parkville	2016	Residents: Age and gender	Age - 5 year groups	100 years and over	Count of persons	8
South Yarra (inc. Melbourne Remainder)	2016	Residents: Age and gender	Age - 5 year groups	0-4 years	Count of persons	195
South Yarra (inc. Melbourne Remainder)	2016	Residents: Age and gender	Age - 5 year groups	5-9 years	Count of persons	142
South Yarra (inc. Melbourne Remainder)	2016	Residents: Age and gender	Age - 5 year groups	10-14 years	Count of persons	112
South Yarra (inc. Melbourne Remainder)	2016	Residents: Age and gender	Age - 5 year groups	15-19 years	Count of persons	314
South Yarra (inc. Melbourne Remainder)	2016	Residents: Age and gender	Age - 5 year groups	20-24 years	Count of persons	453
South Yarra (inc. Melbourne Remainder)	2016	Residents: Age and gender	Age - 5 year groups	25-29 years	Count of persons	838
South Yarra (inc. Melbourne Remainder)	2016	Residents: Age and gender	Age - 5 year groups	30-34 years	Count of persons	831
South Yarra (inc. Melbourne Remainder)	2016	Residents: Age and gender	Age - 5 year groups	35-39 years	Count of persons	475
South Yarra (inc. Melbourne Remainder)	2016	Residents: Age and gender	Age - 5 year groups	40-44 years	Count of persons	359
South Yarra (inc. Melbourne Remainder)	2016	Residents: Age and gender	Age - 5 year groups	45-49 years	Count of persons	332
South Yarra (inc. Melbourne Remainder)	2016	Residents: Age and gender	Age - 5 year groups	50-54 years	Count of persons	316
South Yarra (inc. Melbourne Remainder)	2016	Residents: Age and gender	Age - 5 year groups	55-59 years	Count of persons	322
South Yarra (inc. Melbourne Remainder)	2016	Residents: Age and gender	Age - 5 year groups	60-64 years	Count of persons	330
South Yarra (inc. Melbourne Remainder)	2016	Residents: Age and gender	Age - 5 year groups	65-69 years	Count of persons	342
South Yarra (inc. Melbourne Remainder)	2016	Residents: Age and gender	Age - 5 year groups	70-74 years	Count of persons	315
South Yarra (inc. Melbourne Remainder)	2016	Residents: Age and gender	Age - 5 year groups	75-79 years	Count of persons	203
South Yarra (inc. Melbourne Remainder)	2016	Residents: Age and gender	Age - 5 year groups	80-84 years	Count of persons	124
South Yarra (inc. Melbourne Remainder)	2016	Residents: Age and gender	Age - 5 year groups	85-89 years	Count of persons	113
South Yarra (inc. Melbourne Remainder)	2016	Residents: Age and gender	Age - 5 year groups	90-94 years	Count of persons	54
South Yarra (inc. Melbourne Remainder)	2016	Residents: Age and gender	Age - 5 year groups	95-99 years	Count of persons	38
South Yarra (inc. Melbourne Remainder)	2016	Residents: Age and gender	Age - 5 year groups	100 years and over	Count of persons	6
Southbank	2016	Residents: Age and gender	Age - 5 year groups	0-4 years	Count of persons	587
Southbank	2016	Residents: Age and gender	Age - 5 year groups	5-9 years	Count of persons	217
Southbank	2016	Residents: Age and gender	Age - 5 year groups	10-14 years	Count of persons	100
Southbank	2016	Residents: Age and gender	Age - 5 year groups	15-19 years	Count of persons	814
Southbank	2016	Residents: Age and gender	Age - 5 year groups	20-24 years	Count of persons	3203
Southbank	2016	Residents: Age and gender	Age - 5 year groups	25-29 years	Count of persons	4122
Southbank	2016	Residents: Age and gender	Age - 5 year groups	30-34 years	Count of persons	3403
Southbank	2016	Residents: Age and gender	Age - 5 year groups	35-39 years	Count of persons	1744
Southbank	2016	Residents: Age and gender	Age - 5 year groups	40-44 years	Count of persons	990
Southbank	2016	Residents: Age and gender	Age - 5 year groups	45-49 years	Count of persons	716
Southbank	2016	Residents: Age and gender	Age - 5 year groups	50-54 years	Count of persons	700
Southbank	2016	Residents: Age and gender	Age - 5 year groups	55-59 years	Count of persons	640
Southbank	2016	Residents: Age and gender	Age - 5 year groups	60-64 years	Count of persons	503
Southbank	2016	Residents: Age and gender	Age - 5 year groups	65-69 years	Count of persons	443
Southbank	2016	Residents: Age and gender	Age - 5 year groups	70-74 years	Count of persons	246
Southbank	2016	Residents: Age and gender	Age - 5 year groups	75-79 years	Count of persons	133
Southbank	2016	Residents: Age and gender	Age - 5 year groups	80-84 years	Count of persons	58
Southbank	2016	Residents: Age and gender	Age - 5 year groups	85-89 years	Count of persons	33
Southbank	2016	Residents: Age and gender	Age - 5 year groups	90-94 years	Count of persons	3
Southbank	2016	Residents: Age and gender	Age - 5 year groups	95-99 years	Count of persons	3
Southbank	2016	Residents: Age and gender	Age - 5 year groups	100 years and over	Count of persons	3
West Melbourne (Residential)	2016	Residents: Age and gender	Age - 5 year groups	0-4 years	Count of persons	182
West Melbourne (Residential)	2016	Residents: Age and gender	Age - 5 year groups	5-9 years	Count of persons	121
West Melbourne (Residential)	2016	Residents: Age and gender	Age - 5 year groups	10-14 years	Count of persons	100
West Melbourne (Residential)	2016	Residents: Age and gender	Age - 5 year groups	15-19 years	Count of persons	191
West Melbourne (Residential)	2016	Residents: Age and gender	Age - 5 year groups	20-24 years	Count of persons	920
West Melbourne (Residential)	2016	Residents: Age and gender	Age - 5 year groups	25-29 years	Count of persons	1261
West Melbourne (Residential)	2016	Residents: Age and gender	Age - 5 year groups	30-34 years	Count of persons	942
West Melbourne (Residential)	2016	Residents: Age and gender	Age - 5 year groups	35-39 years	Count of persons	483
West Melbourne (Residential)	2016	Residents: Age and gender	Age - 5 year groups	40-44 years	Count of persons	353
West Melbourne (Residential)	2016	Residents: Age and gender	Age - 5 year groups	45-49 years	Count of persons	266
West Melbourne (Residential)	2016	Residents: Age and gender	Age - 5 year groups	50-54 years	Count of persons	229
West Melbourne (Residential)	2016	Residents: Age and gender	Age - 5 year groups	55-59 years	Count of persons	150
West Melbourne (Residential)	2016	Residents: Age and gender	Age - 5 year groups	60-64 years	Count of persons	106
West Melbourne (Residential)	2016	Residents: Age and gender	Age - 5 year groups	65-69 years	Count of persons	85
West Melbourne (Residential)	2016	Residents: Age and gender	Age - 5 year groups	70-74 years	Count of persons	59
